League,PICK_FINAL,count,hit,MARKET,hit_adj_mkt
Peru - Liga1,Under2.5,39,0.6153846153846154,OU,0.6116572121422076
Peru - Liga1,X,9,0.4444444444444444,1X2,0.48416241496598644
Poland - Ekstraklasa,BTTS_No,12,0.3333333333333333,BTTS,0.37769301895515484
Poland - Ekstraklasa,BTTS_Yes,74,0.5945945945945946,BTTS,0.5930570816146405
Poland - Ekstraklasa,MS1,22,0.6363636363636364,1X2,0.6323979591836735
Poland - Ekstraklasa,MS2,2,0.5,1X2,0.5619897959183674
Poland - Ekstraklasa,Over2.5,15,0.6,OU,0.5938668283318177
Poland - Ekstraklasa,Under2.5,20,0.65,OU,0.6386783873901182
Poland - Ekstraklasa,X,5,0.4,1X2,0.4762436224489796
Portugal - Liga,BTTS_No,10,0.5,BTTS,0.5127227141790248
Portugal - Liga,BTTS_Yes,20,0.75,BTTS,0.7245824036664054
Portugal - Liga,MS1,34,0.8235294117647058,1X2,0.8056742967457253
Portugal - Liga,MS2,26,0.6923076923076923,1X2,0.6831016889514426
Portugal - Liga,Over2.5,6,0.5,OU,0.5210669899969687
Portugal - Liga,Under2.5,46,0.5869565217391305,OU,0.585502100203525
Portugal - Liga,X,10,0.3,1X2,0.36999607535321827
Russia - Premier League,BTTS_No,3,0.3333333333333333,BTTS,0.4442325473878872
Russia - Premier League,BTTS_Yes,40,0.575,BTTS,0.5736138438215657
Russia - Premier League,MS1,29,0.7586206896551724,1X2,0.7440609056122449
Russia - Premier League,MS2,5,0.8,1X2,0.7262436224489797
Russia - Premier League,Over2.5,15,0.3333333333333333,OU,0.3716446061095955
Russia - Premier League,Under2.5,27,0.6666666666666666,OU,0.6563200969990907
Russia - Premier League,X,3,0.0,1X2,0.30165816326530615
Saudi Arabia - Pro League,BTTS_No,6,0.5,BTTS,0.518377253814147
Saudi Arabia - Pro League,BTTS_Yes,47,0.7446808510638298,BTTS,0.7333079056865465
Saudi Arabia - Pro League,MS1,20,0.65,1X2,0.6439108251996452
Saudi Arabia - Pro League,MS2,16,0.5625,1X2,0.5689446831364124
Saudi Arabia - Pro League,Over2.5,42,0.7142857142857143,OU,0.7042133979993938
Saudi Arabia - Pro League,Under2.5,13,0.38461538461538464,OU,0.4181001818732949
Saudi Arabia - Pro League,X,3,0.3333333333333333,1X2,0.46832482993197283
Scotland - Premiership,BTTS_No,9,0.6666666666666666,BTTS,0.6387829403606102
Scotland - Premiership,BTTS_Yes,37,0.5675675675675675,BTTS,0.5666348821081831
Scotland - Premiership,MS1,36,0.8055555555555556,1X2,0.7899986917844061
Scotland - Premiership,MS2,10,0.6,1X2,0.600765306122449
Scotland - Premiership,Over2.5,21,0.5238095238095238,OU,0.5287334545821966
Scotland - Premiership,Under2.5,15,0.4666666666666667,OU,0.4827557172207066
Scotland - Premiership,X,7,0.2857142857142857,1X2,0.3809948979591837
Serbia - Super Liga,BTTS_No,9,0.7777777777777778,BTTS,0.7221162736939436
Serbia - Super Liga,BTTS_Yes,52,0.4807692307692308,BTTS,0.48482536880595134
Serbia - Super Liga,MS1,25,0.56,1X2,0.5646410349854228
Serbia - Super Liga,MS2,8,0.75,1X2,0.7099953617810761
Serbia - Super Liga,Over2.5,14,0.42857142857142855,OU,0.45232958293957165
Serbia - Super Liga,Under2.5,29,0.5517241379310345,OU,0.5528000909366475
Serbia - Super Liga,X,11,0.18181818181818182,1X2,0.27213921282798836
Slovenia - Prva Liga,BTTS_No,1,0.0,BTTS,0.4163488210818308
Slovenia - Prva Liga,BTTS_Yes,22,0.45454545454545453,BTTS,0.46661581137309294
Slovenia - Prva Liga,MS1,18,0.6111111111111112,1X2,0.6099975704567542
Slovenia - Prva Liga,MS2,15,0.6,1X2,0.6005527210884354
